id;dna_type;detailed_type;pdf_id;date_of_creation;user_id;pdf;pdf_content_type
1;YDNA;MAPS;Infrastructure input paradigm;2022-04-17;monitor;../fake-data/blob/hipster.png;image/png
2;MTDNA;TEMPERATURE;programming applications;2022-04-17;Consultant withdrawal;../fake-data/blob/hipster.png;image/png
3;AUTOSOMAL;TEMPERATURE;bandwidth Persevering;2022-04-17;Human clear-thinking Account;../fake-data/blob/hipster.png;image/png
4;MTDNA;MAPS;Account Response;2022-04-17;e-business cross-media calculate;../fake-data/blob/hipster.png;image/png
5;AUTOSOMAL;TEMPERATURE;Specialist HDD;2022-04-17;Barbados network Berkshire;../fake-data/blob/hipster.png;image/png
6;XDNA;TEMPERATURE;hacking;2022-04-17;systematic mobile Soft;../fake-data/blob/hipster.png;image/png
7;XDNA;TEMPERATURE;ADP digital Devolved;2022-04-17;Avon Wooden model;../fake-data/blob/hipster.png;image/png
8;MTDNA;ADDITIONAL;Orchestrator Licensed;2022-04-16;niches;../fake-data/blob/hipster.png;image/png
9;MTDNA;ADDITIONAL;Web;2022-04-17;Cambridgeshire deliverables Liberia;../fake-data/blob/hipster.png;image/png
10;YDNA;MAPS;Global Road;2022-04-16;withdrawal Intelligent;../fake-data/blob/hipster.png;image/png
